,feature,size,weight,gain,cv
0,GeneID.79083,100,0.1595744680851064,24.86870195733333,1
1,GeneID.3169,100,,,1
2,GeneID.1058,100,,,1
3,GeneID.55165,100,,,1
4,GeneID.3400,100,,,1
5,GeneID.9133,100,,,1
6,GeneID.9700,100,,,1
7,GeneID.319089,100,0.010638297872340425,1.00364482,1
8,GeneID.3852,100,,,1
9,GeneID.5347,100,,,1
10,GeneID.2064,100,,,1
11,GeneID.7272,100,0.06382978723404255,3.44332999,1
12,GeneID.332,100,,,1
13,GeneID.8190,100,,,1
14,GeneID.7783,100,,,1
15,GeneID.10948,100,,,1
16,GeneID.2625,100,0.23404255319148937,19.582146730454546,1
17,GeneID.3868,100,,,1
18,GeneID.11065,100,,,1
19,GeneID.151648,100,,,1
20,GeneID.23650,100,,,1
21,GeneID.85004,100,,,1
22,GeneID.7832,100,,,1
23,GeneID.55839,100,,,1
24,GeneID.9156,100,,,1
25,GeneID.6422,100,,,1
26,GeneID.55861,100,,,1
27,GeneID.10403,100,,,1
28,GeneID.29089,100,,,1
29,GeneID.8914,100,,,1
30,GeneID.27202,100,,,1
31,GeneID.89846,100,,,1
32,GeneID.135295,100,,,1
33,GeneID.25803,100,,,1
34,GeneID.2296,100,,,1
35,GeneID.2099,100,0.30851063829787234,16.875565364827583,1
36,GeneID.26166,100,,,1
37,GeneID.7494,100,0.06382978723404255,1.7923999833333333,1
38,GeneID.5733,100,,,1
39,GeneID.2173,100,,,1
40,GeneID.10200,100,,,1
41,GeneID.57650,100,,,1
42,GeneID.983,100,,,1
43,GeneID.23498,100,,,1
44,GeneID.154141,100,,,1
45,GeneID.11162,100,,,1
46,GeneID.29127,100,,,1
47,GeneID.22974,100,,,1
48,GeneID.80129,100,0.0425531914893617,2.3847151699999998,1
49,GeneID.84299,100,,,1
50,GeneID.1308,100,,,1
51,GeneID.146433,100,,,1
52,GeneID.342667,100,,,1
53,GeneID.11004,100,,,1
54,GeneID.90634,100,,,1
55,GeneID.6790,100,,,1
56,GeneID.3861,100,,,1
57,GeneID.10615,100,,,1
58,GeneID.6038,100,,,1
59,GeneID.8318,100,,,1
60,GeneID.5366,100,,,1
61,GeneID.149461,100,,,1
62,GeneID.196993,100,,,1
63,GeneID.4886,100,,,1
64,GeneID.79192,100,,,1
65,GeneID.84417,100,,,1
66,GeneID.1033,100,,,1
67,GeneID.2886,100,,,1
68,GeneID.25891,100,,,1
69,GeneID.8424,100,,,1
70,GeneID.771,100,0.0425531914893617,2.766957195,1
71,GeneID.84281,100,,,1
72,GeneID.9232,100,,,1
73,GeneID.56849,100,,,1
74,GeneID.9413,100,,,1
75,GeneID.81706,100,,,1
76,GeneID.6718,100,,,1
77,GeneID.55259,100,,,1
78,GeneID.53335,100,0.07446808510638298,8.813146414285715,1
79,GeneID.306,100,,,1
80,GeneID.59272,100,,,1
81,GeneID.4137,100,,,1
82,GeneID.23397,100,,,1
83,GeneID.64105,100,,,1
84,GeneID.158046,100,,,1
85,GeneID.8447,100,,,1
86,GeneID.9635,100,,,1
87,GeneID.8200,100,,,1
88,GeneID.54898,100,,,1
89,GeneID.221061,100,,,1
90,GeneID.2353,100,,,1
91,GeneID.2539,100,,,1
92,GeneID.83540,100,,,1
93,GeneID.1672,100,,,1
94,GeneID.12,100,,,1
95,GeneID.3872,100,,,1
96,GeneID.3838,100,,,1
97,GeneID.83903,100,,,1
98,GeneID.27190,100,,,1
99,GeneID.5174,100,,,1
0,GeneID.79083,90,0.1702127659574468,23.005707901249995,1
1,GeneID.2625,90,0.23404255319148937,19.283190190000003,1
2,GeneID.2099,90,0.2978723404255319,17.767634588571433,1
3,GeneID.53335,90,0.07446808510638298,9.418774881428572,1
4,GeneID.7272,90,0.06382978723404255,3.42931666,1
5,GeneID.771,90,0.0425531914893617,2.8000081174999996,1
6,GeneID.80129,90,0.0425531914893617,2.3117196575,1
7,GeneID.7494,90,0.06382978723404255,1.7047746766666665,1
8,GeneID.319089,90,0.010638297872340425,1.00375569,1
9,GeneID.3169,90,,,1
10,GeneID.1058,90,,,1
11,GeneID.55165,90,,,1
12,GeneID.3400,90,,,1
13,GeneID.9133,90,,,1
14,GeneID.9700,90,,,1
15,GeneID.3852,90,,,1
16,GeneID.5347,90,,,1
17,GeneID.2064,90,,,1
18,GeneID.332,90,,,1
19,GeneID.8190,90,,,1
20,GeneID.7783,90,,,1
21,GeneID.10948,90,,,1
22,GeneID.3868,90,,,1
23,GeneID.11065,90,,,1
24,GeneID.151648,90,,,1
25,GeneID.23650,90,,,1
26,GeneID.85004,90,,,1
27,GeneID.7832,90,,,1
28,GeneID.55839,90,,,1
29,GeneID.9156,90,,,1
30,GeneID.6422,90,,,1
31,GeneID.55861,90,,,1
32,GeneID.10403,90,,,1
33,GeneID.29089,90,,,1
34,GeneID.8914,90,,,1
35,GeneID.27202,90,,,1
36,GeneID.89846,90,,,1
37,GeneID.135295,90,,,1
38,GeneID.25803,90,,,1
39,GeneID.2296,90,,,1
40,GeneID.26166,90,,,1
41,GeneID.5733,90,,,1
42,GeneID.2173,90,,,1
43,GeneID.10200,90,,,1
44,GeneID.57650,90,,,1
45,GeneID.983,90,,,1
46,GeneID.23498,90,,,1
47,GeneID.154141,90,,,1
48,GeneID.11162,90,,,1
49,GeneID.29127,90,,,1
50,GeneID.22974,90,,,1
51,GeneID.84299,90,,,1
52,GeneID.1308,90,,,1
53,GeneID.146433,90,,,1
54,GeneID.342667,90,,,1
55,GeneID.11004,90,,,1
56,GeneID.90634,90,,,1
57,GeneID.6790,90,,,1
58,GeneID.3861,90,,,1
59,GeneID.10615,90,,,1
60,GeneID.6038,90,,,1
61,GeneID.8318,90,,,1
62,GeneID.5366,90,,,1
63,GeneID.149461,90,,,1
64,GeneID.196993,90,,,1
65,GeneID.4886,90,,,1
66,GeneID.79192,90,,,1
67,GeneID.84417,90,,,1
68,GeneID.1033,90,,,1
69,GeneID.2886,90,,,1
70,GeneID.25891,90,,,1
71,GeneID.8424,90,,,1
72,GeneID.84281,90,,,1
73,GeneID.9232,90,,,1
74,GeneID.56849,90,,,1
75,GeneID.9413,90,,,1
76,GeneID.81706,90,,,1
77,GeneID.6718,90,,,1
78,GeneID.55259,90,,,1
79,GeneID.306,90,,,1
80,GeneID.59272,90,,,1
81,GeneID.4137,90,,,1
82,GeneID.23397,90,,,1
83,GeneID.64105,90,,,1
84,GeneID.158046,90,,,1
85,GeneID.8447,90,,,1
86,GeneID.9635,90,,,1
87,GeneID.8200,90,,,1
88,GeneID.54898,90,,,1
89,GeneID.221061,90,,,1
0,GeneID.79083,80,0.1595744680851064,25.923220187333342,1
1,GeneID.2625,80,0.24468085106382978,18.420090180434787,1
2,GeneID.2099,80,0.30851063829787234,16.46897969344827,1
3,GeneID.53335,80,0.07446808510638298,9.404147702857145,1
4,GeneID.7272,80,0.06382978723404255,3.5018728383333335,1
5,GeneID.771,80,0.05319148936170213,2.4598003139999998,1
6,GeneID.80129,80,0.0425531914893617,2.3643479925,1
7,GeneID.7494,80,0.05319148936170213,1.85809729,1
8,GeneID.319089,80,,,1
9,GeneID.3169,80,,,1
10,GeneID.1058,80,,,1
11,GeneID.55165,80,,,1
12,GeneID.3400,80,,,1
13,GeneID.9133,80,,,1
14,GeneID.9700,80,,,1
15,GeneID.3852,80,,,1
16,GeneID.5347,80,,,1
17,GeneID.2064,80,,,1
18,GeneID.332,80,,,1
19,GeneID.8190,80,,,1
20,GeneID.7783,80,,,1
21,GeneID.10948,80,,,1
22,GeneID.3868,80,,,1
23,GeneID.11065,80,,,1
24,GeneID.151648,80,,,1
25,GeneID.23650,80,,,1
26,GeneID.85004,80,,,1
27,GeneID.7832,80,,,1
28,GeneID.55839,80,,,1
29,GeneID.9156,80,,,1
30,GeneID.6422,80,,,1
31,GeneID.55861,80,,,1
32,GeneID.10403,80,,,1
33,GeneID.29089,80,,,1
34,GeneID.8914,80,,,1
35,GeneID.27202,80,,,1
36,GeneID.89846,80,,,1
37,GeneID.135295,80,,,1
38,GeneID.25803,80,,,1
39,GeneID.2296,80,,,1
40,GeneID.26166,80,,,1
41,GeneID.5733,80,,,1
42,GeneID.2173,80,,,1
43,GeneID.10200,80,,,1
44,GeneID.57650,80,,,1
45,GeneID.983,80,,,1
46,GeneID.23498,80,,,1
47,GeneID.154141,80,,,1
48,GeneID.11162,80,,,1
49,GeneID.29127,80,,,1
50,GeneID.22974,80,,,1
51,GeneID.84299,80,,,1
52,GeneID.1308,80,,,1
53,GeneID.146433,80,,,1
54,GeneID.342667,80,,,1
55,GeneID.11004,80,,,1
56,GeneID.90634,80,,,1
57,GeneID.6790,80,,,1
58,GeneID.3861,80,,,1
59,GeneID.10615,80,,,1
60,GeneID.6038,80,,,1
61,GeneID.8318,80,,,1
62,GeneID.5366,80,,,1
63,GeneID.149461,80,,,1
64,GeneID.196993,80,,,1
65,GeneID.4886,80,,,1
66,GeneID.79192,80,,,1
67,GeneID.84417,80,,,1
68,GeneID.1033,80,,,1
69,GeneID.2886,80,,,1
70,GeneID.25891,80,,,1
71,GeneID.8424,80,,,1
72,GeneID.84281,80,,,1
73,GeneID.9232,80,,,1
74,GeneID.56849,80,,,1
75,GeneID.9413,80,,,1
76,GeneID.81706,80,,,1
77,GeneID.6718,80,,,1
78,GeneID.55259,80,,,1
79,GeneID.306,80,,,1
0,GeneID.79083,70,0.1375,30.18417991454545,1
1,GeneID.2625,70,0.275,17.600098947727272,1
2,GeneID.2099,70,0.3375,17.41745045185185,1
3,GeneID.53335,70,0.0625,7.7350593199999995,1
4,GeneID.7272,70,0.0375,2.64646987,1
5,GeneID.771,70,0.0375,2.191618443333333,1
6,GeneID.80129,70,0.05,1.87437129,1
7,GeneID.7494,70,0.0625,1.842112922,1
8,GeneID.319089,70,,,1
9,GeneID.3169,70,,,1
10,GeneID.1058,70,,,1
11,GeneID.55165,70,,,1
12,GeneID.3400,70,,,1
13,GeneID.9133,70,,,1
14,GeneID.9700,70,,,1
15,GeneID.3852,70,,,1
16,GeneID.5347,70,,,1
17,GeneID.2064,70,,,1
18,GeneID.332,70,,,1
19,GeneID.8190,70,,,1
20,GeneID.7783,70,,,1
21,GeneID.10948,70,,,1
22,GeneID.3868,70,,,1
23,GeneID.11065,70,,,1
24,GeneID.151648,70,,,1
25,GeneID.23650,70,,,1
26,GeneID.85004,70,,,1
27,GeneID.7832,70,,,1
28,GeneID.55839,70,,,1
29,GeneID.9156,70,,,1
30,GeneID.6422,70,,,1
31,GeneID.55861,70,,,1
32,GeneID.10403,70,,,1
33,GeneID.29089,70,,,1
34,GeneID.8914,70,,,1
35,GeneID.27202,70,,,1
36,GeneID.89846,70,,,1
37,GeneID.135295,70,,,1
38,GeneID.25803,70,,,1
39,GeneID.2296,70,,,1
40,GeneID.26166,70,,,1
41,GeneID.5733,70,,,1
42,GeneID.2173,70,,,1
43,GeneID.10200,70,,,1
44,GeneID.57650,70,,,1
45,GeneID.983,70,,,1
46,GeneID.23498,70,,,1
47,GeneID.154141,70,,,1
48,GeneID.11162,70,,,1
49,GeneID.29127,70,,,1
50,GeneID.22974,70,,,1
51,GeneID.84299,70,,,1
52,GeneID.1308,70,,,1
