,feature,size,weight,gain,cv
0,GeneID.79083,100,0.043882978723404256,25.866462681515163,1
1,GeneID.3169,100,0.022606382978723406,7.484884531176469,1
2,GeneID.1058,100,0.0013297872340425532,2.06522942,1
3,GeneID.55165,100,0.014627659574468085,23.674147198181824,1
4,GeneID.3400,100,0.009308510638297872,20.032219871428573,1
5,GeneID.9133,100,,,1
6,GeneID.9700,100,0.007978723404255319,1.8561247600000002,1
7,GeneID.319089,100,0.014627659574468085,3.868512587272726,1
8,GeneID.3852,100,0.011968085106382979,5.557863952222222,1
9,GeneID.5347,100,0.03723404255319149,7.646683977142856,1
10,GeneID.2064,100,0.009308510638297872,11.417964057142857,1
11,GeneID.7272,100,0.007978723404255319,13.356541301666667,1
12,GeneID.332,100,,,1
13,GeneID.8190,100,,,1
14,GeneID.7783,100,,,1
15,GeneID.10948,100,0.05186170212765957,5.870209795384613,1
16,GeneID.2625,100,0.034574468085106384,5.481906591538461,1
17,GeneID.3868,100,0.003989361702127659,1.754478533333333,1
18,GeneID.11065,100,,,1
19,GeneID.151648,100,0.0199468085106383,9.607442717333333,1
20,GeneID.23650,100,0.02127659574468085,5.7159151024999995,1
21,GeneID.85004,100,,,1
22,GeneID.7832,100,,,1
23,GeneID.55839,100,0.009308510638297872,1.896117822857143,1
24,GeneID.9156,100,0.026595744680851064,5.014904167,1
25,GeneID.6422,100,0.017287234042553192,8.52058318,1
26,GeneID.55861,100,0.013297872340425532,2.2954429870000004,1
27,GeneID.10403,100,0.013297872340425532,5.356185364,1
28,GeneID.29089,100,0.0026595744680851063,1.11247158,1
29,GeneID.8914,100,0.0013297872340425532,3.17030883,1
30,GeneID.27202,100,0.02127659574468085,1.8966745727499998,1
31,GeneID.89846,100,0.0013297872340425532,3.31863499,1
32,GeneID.135295,100,0.006648936170212766,1.220094276,1
33,GeneID.25803,100,,,1
34,GeneID.2296,100,0.02925531914893617,4.089545367272726,1
35,GeneID.2099,100,0.013297872340425532,3.8896125570000004,1
36,GeneID.26166,100,,,1
37,GeneID.7494,100,0.02127659574468085,2.515422263125,1
38,GeneID.5733,100,0.0026595744680851063,3.96076727,1
39,GeneID.2173,100,,,1
40,GeneID.10200,100,0.030585106382978722,3.182880941304347,1
41,GeneID.57650,100,,,1
42,GeneID.983,100,0.005319148936170213,3.7274630675000004,1
43,GeneID.23498,100,,,1
44,GeneID.154141,100,0.017287234042553192,1.4195152615384612,1
45,GeneID.11162,100,0.05053191489361702,4.167218773421052,1
46,GeneID.29127,100,,,1
47,GeneID.22974,100,0.0026595744680851063,16.40835,1
48,GeneID.80129,100,0.0013297872340425532,1.04212976,1
49,GeneID.84299,100,0.006648936170212766,3.4136449819999997,1
50,GeneID.1308,100,0.0026595744680851063,2.807848335,1
51,GeneID.146433,100,0.007978723404255319,1.2653972083333334,1
52,GeneID.342667,100,0.0013297872340425532,4.14819288,1
53,GeneID.11004,100,,,1
54,GeneID.90634,100,,,1
55,GeneID.6790,100,0.011968085106382979,2.1150482755555555,1
56,GeneID.3861,100,,,1
57,GeneID.10615,100,0.006648936170212766,10.852188872000001,1
58,GeneID.6038,100,,,1
59,GeneID.8318,100,,,1
60,GeneID.5366,100,0.015957446808510637,1.899596085,1
61,GeneID.149461,100,0.015957446808510637,2.415558208333333,1
62,GeneID.196993,100,,,1
63,GeneID.4886,100,,,1
64,GeneID.79192,100,,,1
65,GeneID.84417,100,0.007978723404255319,1.3035697350000002,1
66,GeneID.1033,100,0.003989361702127659,3.1941374933333333,1
67,GeneID.2886,100,0.011968085106382979,2.2875255755555552,1
68,GeneID.25891,100,0.017287234042553192,2.8645003407692307,1
69,GeneID.8424,100,0.003989361702127659,2.8497521866666666,1
70,GeneID.771,100,0.007978723404255319,1.3712357083333335,1
71,GeneID.84281,100,,,1
72,GeneID.9232,100,,,1
73,GeneID.56849,100,0.013297872340425532,5.263168596,1
74,GeneID.9413,100,0.03723404255319149,1.801004630392857,1
75,GeneID.81706,100,0.0013297872340425532,1.64976597,1
76,GeneID.6718,100,,,1
77,GeneID.55259,100,,,1
78,GeneID.53335,100,0.010638297872340425,3.1431698962500003,1
79,GeneID.306,100,,,1
80,GeneID.59272,100,,,1
81,GeneID.4137,100,0.005319148936170213,2.52513063,1
82,GeneID.23397,100,0.018617021276595744,16.551240037857145,1
83,GeneID.64105,100,,,1
84,GeneID.158046,100,0.005319148936170213,3.0531206125,1
85,GeneID.8447,100,0.003989361702127659,1.4752112233333332,1
86,GeneID.9635,100,0.007978723404255319,1.9680560016666666,1
87,GeneID.8200,100,0.02526595744680851,1.9942825531578952,1
88,GeneID.54898,100,,,1
89,GeneID.221061,100,0.0013297872340425532,1.23077297,1
90,GeneID.2353,100,0.0013297872340425532,1.0773983,1
91,GeneID.2539,100,0.003989361702127659,1.4281697266666666,1
92,GeneID.83540,100,0.07047872340425532,6.869445800566041,1
93,GeneID.1672,100,0.014627659574468085,1.8803161918181817,1
94,GeneID.12,100,0.031914893617021274,3.553181582916667,1
95,GeneID.3872,100,0.015957446808510637,5.979607504166666,1
96,GeneID.3838,100,,,1
97,GeneID.83903,100,0.003989361702127659,2.5373981766666667,1
98,GeneID.27190,100,0.0026595744680851063,1.551364955,1
99,GeneID.5174,100,0.0026595744680851063,1.09316993,1
0,GeneID.79083,90,0.041005291005291,23.414886629999998,1
1,GeneID.55165,90,0.013227513227513227,27.102571846000007,1
2,GeneID.3400,90,0.009259259259259259,19.904798914285717,1
3,GeneID.23397,90,0.018518518518518517,17.991069966428576,1
4,GeneID.22974,90,0.0026455026455026454,20.954754800000003,1
5,GeneID.7272,90,0.007936507936507936,11.731105835000001,1
6,GeneID.2064,90,0.0026455026455026454,17.3196144,1
7,GeneID.10615,90,0.009259259259259259,8.71968844,1
8,GeneID.151648,90,0.01984126984126984,8.908647582000002,1
9,GeneID.6422,90,0.017195767195767195,8.75209726153846,1
10,GeneID.5347,90,0.037037037037037035,7.184350730357144,1
11,GeneID.3169,90,0.021164021164021163,7.251118889375001,1
12,GeneID.83540,90,0.06613756613756613,7.0483073816,1
13,GeneID.3872,90,0.01984126984126984,5.214326269999999,1
14,GeneID.10948,90,0.0582010582010582,6.240098347272729,1
15,GeneID.23650,90,0.023809523809523808,5.317649317777779,1
16,GeneID.3852,90,0.007936507936507936,6.448798816666667,1
17,GeneID.2625,90,0.03571428571428571,5.52863881,1
18,GeneID.10403,90,0.01455026455026455,4.835428311818182,1
19,GeneID.56849,90,0.010582010582010581,5.73118932125,1
20,GeneID.9156,90,0.0291005291005291,4.690199360909092,1
21,GeneID.11162,90,0.051587301587301584,4.049504793589743,1
22,GeneID.342667,90,0.0013227513227513227,5.23149395,1
23,GeneID.2296,90,0.03042328042328042,9.643076127826086,1
24,GeneID.5733,90,0.0026455026455026454,2.5203166,1
25,GeneID.2099,90,0.018518518518518517,3.1449515064285714,1
26,GeneID.319089,90,0.015873015873015872,3.427264034166667,1
27,GeneID.983,90,0.006613756613756613,4.535636521999999,1
28,GeneID.12,90,0.031746031746031744,3.5121141024999996,1
29,GeneID.84299,90,0.006613756613756613,3.401696872,1
30,GeneID.89846,90,0.0013227513227513227,3.06995678,1
31,GeneID.1033,90,0.005291005291005291,2.3016677199999998,1
32,GeneID.10200,90,0.03042328042328042,3.337049971304347,1
33,GeneID.8914,90,0.0026455026455026454,2.409300805,1
34,GeneID.53335,90,0.011904761904761904,2.9099619644444443,1
35,GeneID.158046,90,0.005291005291005291,1.7313700024999998,1
36,GeneID.25891,90,0.013227513227513227,2.593709232,1
37,GeneID.8424,90,0.0026455026455026454,3.54435003,1
38,GeneID.1308,90,0.006613756613756613,2.925790094,1
39,GeneID.83903,90,0.003968253968253968,1.9442492333333332,1
40,GeneID.4137,90,0.006613756613756613,1.465308238,1
41,GeneID.7494,90,0.022486772486772486,2.365126491764706,1
42,GeneID.149461,90,0.015873015873015872,3.3082181600000005,1
43,GeneID.55861,90,0.013227513227513227,2.358765233,1
44,GeneID.2886,90,0.009259259259259259,2.3147259457142857,1
45,GeneID.6790,90,0.011904761904761904,2.1780410999999997,1
46,GeneID.1058,90,,,1
47,GeneID.8200,90,0.026455026455026454,2.198292881,1
48,GeneID.9635,90,0.009259259259259259,1.808327454285714,1
49,GeneID.5366,90,0.01984126984126984,1.97320215,1
50,GeneID.27202,90,0.01984126984126984,1.8261968126666668,1
51,GeneID.55839,90,0.010582010582010581,2.40198141375,1
52,GeneID.1672,90,0.01455026455026455,1.62312836,1
53,GeneID.9700,90,0.0013227513227513227,1.69934559,1
54,GeneID.9413,90,0.03571428571428571,1.7157105258148149,1
55,GeneID.3868,90,0.003968253968253968,1.50882244,1
56,GeneID.81706,90,0.0013227513227513227,1.4924711,1
57,GeneID.27190,90,,,1
58,GeneID.8447,90,0.0026455026455026454,1.08357078,1
59,GeneID.2539,90,0.003968253968253968,1.3429251899999999,1
60,GeneID.154141,90,0.018518518518518517,1.353567080714286,1
61,GeneID.771,90,0.007936507936507936,1.2481437116666665,1
62,GeneID.84417,90,0.009259259259259259,1.4089493757142857,1
63,GeneID.146433,90,0.006613756613756613,1.2867851240000001,1
64,GeneID.221061,90,0.0026455026455026454,1.1889216299999998,1
65,GeneID.135295,90,0.005291005291005291,1.2146818625,1
66,GeneID.29089,90,0.0013227513227513227,1.09812593,1
67,GeneID.5174,90,0.0013227513227513227,1.11863875,1
68,GeneID.2353,90,,,1
69,GeneID.80129,90,0.0013227513227513227,1.02838135,1
70,GeneID.9133,90,,,1
71,GeneID.332,90,,,1
72,GeneID.8190,90,,,1
73,GeneID.7783,90,,,1
74,GeneID.11065,90,,,1
75,GeneID.85004,90,,,1
76,GeneID.7832,90,,,1
77,GeneID.25803,90,,,1
78,GeneID.26166,90,,,1
79,GeneID.2173,90,,,1
80,GeneID.57650,90,0.0013227513227513227,2.94812751,1
81,GeneID.23498,90,,,1
82,GeneID.29127,90,,,1
83,GeneID.11004,90,,,1
84,GeneID.90634,90,,,1
85,GeneID.3861,90,,,1
86,GeneID.6038,90,,,1
87,GeneID.8318,90,,,1
88,GeneID.196993,90,,,1
89,GeneID.4886,90,0.0013227513227513227,1.42382407,1
0,GeneID.55165,80,0.017356475300400534,21.70317283923077,1
1,GeneID.79083,80,0.04539385847797063,26.045299127352944,1
2,GeneID.22974,80,0.0026702269692923898,13.49632454,1
3,GeneID.3400,80,0.009345794392523364,20.99378014285714,1
4,GeneID.23397,80,0.017356475300400534,18.64584956615385,1
5,GeneID.2064,80,0.009345794392523364,7.633150499999999,1
6,GeneID.7272,80,0.00801068090787717,11.546570866666668,1
7,GeneID.2296,80,0.030707610146862484,4.36706823,1
8,GeneID.151648,80,0.020026702269692925,9.422911415333335,1
9,GeneID.6422,80,0.017356475300400534,8.937765964615384,1
10,GeneID.10615,80,0.004005340453938585,12.94367655,1
11,GeneID.3169,80,0.020026702269692925,5.869367274666668,1
12,GeneID.5347,80,0.036048064085447265,7.268396643333332,1
