,feature,size,weight,gain,cv
0,os_event,101,0.2696078431372549,16726683.61818182,1
1,GeneID.79083,101,,,1
2,GeneID.3169,101,,,1
3,GeneID.1058,101,,,1
4,GeneID.55165,101,,,1
5,GeneID.3400,101,,,1
6,GeneID.9133,101,,,1
7,GeneID.9700,101,,,1
8,GeneID.319089,101,,,1
9,GeneID.3852,101,0.00980392156862745,12943203.0,1
10,GeneID.5347,101,0.18137254901960784,14953340.81081081,1
11,GeneID.2064,101,,,1
12,GeneID.7272,101,,,1
13,GeneID.332,101,,,1
14,GeneID.8190,101,,,1
15,GeneID.7783,101,,,1
16,GeneID.10948,101,,,1
17,GeneID.2625,101,,,1
18,GeneID.3868,101,,,1
19,GeneID.11065,101,,,1
20,GeneID.151648,101,,,1
21,GeneID.23650,101,,,1
22,GeneID.85004,101,,,1
23,GeneID.7832,101,,,1
24,GeneID.55839,101,,,1
25,GeneID.9156,101,,,1
26,GeneID.6422,101,,,1
27,GeneID.55861,101,,,1
28,GeneID.10403,101,,,1
29,GeneID.29089,101,,,1
30,GeneID.8914,101,,,1
31,GeneID.27202,101,,,1
32,GeneID.89846,101,,,1
33,GeneID.135295,101,,,1
34,GeneID.25803,101,,,1
35,GeneID.2296,101,,,1
36,GeneID.2099,101,,,1
37,GeneID.26166,101,,,1
38,GeneID.7494,101,,,1
39,GeneID.5733,101,,,1
40,GeneID.2173,101,,,1
41,GeneID.10200,101,,,1
42,GeneID.57650,101,,,1
43,GeneID.983,101,,,1
44,GeneID.23498,101,,,1
45,GeneID.154141,101,,,1
46,GeneID.11162,101,,,1
47,GeneID.29127,101,,,1
48,GeneID.22974,101,,,1
49,GeneID.80129,101,,,1
50,GeneID.84299,101,,,1
51,GeneID.1308,101,,,1
52,GeneID.146433,101,,,1
53,GeneID.342667,101,0.08823529411764706,13294130.777777778,1
54,GeneID.11004,101,,,1
55,GeneID.90634,101,,,1
56,GeneID.6790,101,,,1
57,GeneID.3861,101,,,1
58,GeneID.10615,101,,,1
59,GeneID.6038,101,0.17647058823529413,13745284.277777778,1
60,GeneID.8318,101,,,1
61,GeneID.5366,101,,,1
62,GeneID.149461,101,,,1
63,GeneID.196993,101,,,1
64,GeneID.4886,101,,,1
65,GeneID.79192,101,,,1
66,GeneID.84417,101,,,1
67,GeneID.1033,101,,,1
68,GeneID.2886,101,,,1
69,GeneID.25891,101,,,1
70,GeneID.8424,101,,,1
71,GeneID.771,101,,,1
72,GeneID.84281,101,,,1
73,GeneID.9232,101,,,1
74,GeneID.56849,101,,,1
75,GeneID.9413,101,,,1
76,GeneID.81706,101,,,1
77,GeneID.6718,101,,,1
78,GeneID.55259,101,,,1
79,GeneID.53335,101,,,1
80,GeneID.306,101,,,1
81,GeneID.59272,101,,,1
82,GeneID.4137,101,,,1
83,GeneID.23397,101,,,1
84,GeneID.64105,101,,,1
