,feature,size,weight,gain,cv
0,GeneID.79083,100,,,1
1,GeneID.3169,100,,,1
2,GeneID.1058,100,,,1
3,GeneID.55165,100,,,1
4,GeneID.3400,100,0.07260726072607261,1.1860778122727273,1
5,GeneID.9133,100,,,1
6,GeneID.9700,100,,,1
7,GeneID.319089,100,,,1
8,GeneID.3852,100,,,1
9,GeneID.5347,100,,,1
10,GeneID.2064,100,,,1
11,GeneID.7272,100,,,1
12,GeneID.332,100,,,1
13,GeneID.8190,100,,,1
14,GeneID.7783,100,0.013201320132013201,1.80852455,1
15,GeneID.10948,100,0.006600660066006601,4.453919645,1
16,GeneID.2625,100,,,1
17,GeneID.3868,100,,,1
18,GeneID.11065,100,,,1
19,GeneID.151648,100,,,1
20,GeneID.23650,100,,,1
21,GeneID.85004,100,,,1
22,GeneID.7832,100,,,1
23,GeneID.55839,100,,,1
24,GeneID.9156,100,,,1
25,GeneID.6422,100,,,1
26,GeneID.55861,100,,,1
27,GeneID.10403,100,,,1
28,GeneID.29089,100,,,1
29,GeneID.8914,100,,,1
30,GeneID.27202,100,,,1
31,GeneID.89846,100,,,1
32,GeneID.135295,100,,,1
33,GeneID.25803,100,,,1
34,GeneID.2296,100,,,1
35,GeneID.2099,100,,,1
36,GeneID.26166,100,,,1
37,GeneID.7494,100,,,1
38,GeneID.5733,100,,,1
39,GeneID.2173,100,,,1
40,GeneID.10200,100,,,1
41,GeneID.57650,100,,,1
42,GeneID.983,100,,,1
43,GeneID.23498,100,,,1
44,GeneID.154141,100,,,1
45,GeneID.11162,100,0.039603960396039604,2.094629586666666,1
46,GeneID.29127,100,,,1
47,GeneID.22974,100,,,1
48,GeneID.80129,100,,,1
49,GeneID.84299,100,,,1
50,GeneID.1308,100,,,1
51,GeneID.146433,100,,,1
52,GeneID.342667,100,,,1
53,GeneID.11004,100,,,1
54,GeneID.90634,100,,,1
55,GeneID.6790,100,,,1
56,GeneID.3861,100,0.052805280528052806,1.1473985006250003,1
57,GeneID.10615,100,,,1
58,GeneID.6038,100,,,1
59,GeneID.8318,100,,,1
60,GeneID.5366,100,,,1
61,GeneID.149461,100,,,1
62,GeneID.196993,100,0.0033003300330033004,4.6135087,1
63,GeneID.4886,100,,,1
64,GeneID.79192,100,,,1
65,GeneID.84417,100,,,1
66,GeneID.1033,100,,,1
67,GeneID.2886,100,,,1
68,GeneID.25891,100,,,1
69,GeneID.8424,100,0.0231023102310231,9.392694061428571,1
70,GeneID.771,100,,,1
71,GeneID.84281,100,,,1
72,GeneID.9232,100,,,1
73,GeneID.56849,100,,,1
74,GeneID.9413,100,,,1
75,GeneID.81706,100,0.009900990099009901,1.9939334366666668,1
76,GeneID.6718,100,,,1
77,GeneID.55259,100,,,1
78,GeneID.53335,100,,,1
79,GeneID.306,100,0.013201320132013201,2.305065275,1
80,GeneID.59272,100,,,1
81,GeneID.4137,100,0.033003300330033,5.1360069269999995,1
82,GeneID.23397,100,,,1
83,GeneID.64105,100,,,1
84,GeneID.158046,100,,,1
85,GeneID.8447,100,,,1
86,GeneID.9635,100,,,1
87,GeneID.8200,100,0.052805280528052806,4.417731374374999,1
88,GeneID.54898,100,,,1
89,GeneID.221061,100,,,1
90,GeneID.2353,100,,,1
91,GeneID.2539,100,,,1
92,GeneID.83540,100,,,1
93,GeneID.1672,100,0.18151815181518152,9.37191849763636,1
94,GeneID.12,100,0.009900990099009901,2.4798755633333336,1
95,GeneID.3872,100,0.2706270627062706,5.613282340487806,1
96,GeneID.3838,100,,,1
97,GeneID.83903,100,0.2145214521452145,6.28687783769231,1
98,GeneID.27190,100,0.0033003300330033004,4.79112577,1
99,GeneID.5174,100,,,1
0,GeneID.8424,90,0.006756756756756757,10.01623679,1
1,GeneID.1672,90,0.19256756756756757,9.3965149022807,1
2,GeneID.83903,90,0.21621621621621623,6.276532530468751,1
3,GeneID.3872,90,0.25675675675675674,5.841461234605265,1
4,GeneID.4137,90,0.02364864864864865,5.103605544285714,1
5,GeneID.27190,90,0.016891891891891893,4.756783962,1
6,GeneID.196993,90,0.010135135135135136,4.510236896666666,1
7,GeneID.10948,90,0.013513513513513514,4.4676060675,1
8,GeneID.8200,90,0.05067567567567568,4.382048098666666,1
9,GeneID.12,90,0.0033783783783783786,2.55208302,1
10,GeneID.306,90,0.0033783783783783786,2.34931564,1
11,GeneID.11162,90,0.057432432432432436,2.0795374617647053,1
12,GeneID.81706,90,0.0033783783783783786,1.73455572,1
